id,prompt,text,label,model,domain
25564,NO-PROMPT,It should also have a tightfitting lid. Fill the pot with about 1 inch of water and place the steamer in the bottom. Cover the pot with the lid and bring the water to a boil,human,NO-MODEL,wiki
27989,NO-PROMPT,"Since washing your dry clean only garments every time you wear them may not be an option, you can keep odor causing bacteria at bay with a simple vinegar and water solution. For your dry clean only items, prepare a 50/50 mixture of vinegar and water, turn the garment inside out, and spritz a little of the vinegar/water mixture onto the underarm area of your garment. (Spot test your garment first to make sure the vinegar solution does not cause any dis",human,NO-MODEL,wiki
26963,NO-PROMPT,"Find a place in your yard that has enough space for the vegetables you want to grow and receives direct sunlight throughout the day. When you find a spot in your yard that you like, drive garden stakes into the corners so you don’t forget where your spot is. You can make your vegetable garden any size you want, but aim to have at least 40–50 square feet (3.7–4.6 m2) so you have room to plant multiple vegetables",human,NO-MODEL,wiki
14861,NO-PROMPT,@uncyherb LOL. I dont hate anyone. I just feel pity for you,human,NO-MODEL,tweets
7717,NO-PROMPT,"The rules set out in the Annex to this Decision shall be used to determine the eligibility of expenditure of actions financed under the annual programmes referred to in Article 16 of Decision 2004/904/EC. 2. Member States may apply national eligibility rules that are more rigorous than those prescribed in this Decision. Article 4. The present decision is addressed to the Kingdom of Belgium, the Czech Republic, the Federal Republic of Germany, the Republic of Estonia, the Hellenic Republic, the Kingdom of",human,NO-MODEL,legal
29268,NO-PROMPT,"If your dates have not been pitted, bite into each date carefully and remove the pit. Dates pair wonderfully with oats. Add a few chopped dates when simmering your oatmeal in the morning, or use them to make overnight oats. A good rule of thumb is to use 1 date per serving of oatmeal. Some recipe ideas include: Datesweetened apple pie oatmeal Espresso overnight oats with salted date car",human,NO-MODEL,wiki
18538,NO-PROMPT,@iusebiro But thats me Im interested to hear your opinion (Hopefully not blemished by mine),human,NO-MODEL,tweets
17424,NO-PROMPT,@Pogue Somethings lacking without your questions every day Maybe you should start research for the second book now ;),human,NO-MODEL,tweets
3023,NO-PROMPT,"Recovery shall be effected in accordance with the procedures and provisions of German law. The sums to be recovered shall bear interest from the date on which they were made available to the recipients until their actual recovery. Interest shall be calculated on the basis of the reference rate used for calculating the grantequivalent of regional aid. Article 3. Germany shall inform the Commission, within two months of notification of this Decision, of the measures taken to comply with it. Done at Brussels, 3 March 1999.",human,NO-MODEL,legal
29415,NO-PROMPT,"For the tiniest confetti, use a microcut shredder instead of a crosscut shredder. Avoid running materials, such as ribbons or garland, through the shredder since these may snag. If you use heavier cardstock paper, the edges of the paper may tear or look ragged.",human,NO-MODEL,wiki
25998,NO-PROMPT,"Drinking at least a cup of green tea once a day was shown to ward off gum disease. It may be because green tea contains the antioxidant catechin, which can help reduce inflammation. Remember that green tea has caffeine, which can keep you up at night. Drink it earlier in the day if you find thats a problem for you. Be aware that drinking too much green tea can have side effects, such as causing stomach discomfort or even an",human,NO-MODEL,wiki
30283,NO-PROMPT,"A group may choose to meet every Sunday, for instance. Consistency is good for keeping all members on the same page, not forgetting meetings and having a set time to indicate when they refer others to the group. A time schedule doesn’t have to be set immediately. It may take a few meetings to come up with a good day and time and afterwards you may still need to switch to accommodate others. The introductory meeting of the group is a good time to indicate what you want the group meeting",human,NO-MODEL,wiki
2924,NO-PROMPT,"HAS ADOPTED THIS DECISION: Article 1. In Article 1 of Decision 97/510/EC, 31 December 2003 shall be replaced by 31 December 2007. Article 2. This Decision is addressed to Ireland. Done at Brussels, 25 November 2003.",human,NO-MODEL,legal
6845,NO-PROMPT,"HAS ADOPTED THIS DECISION: Article 1. Part 1 of the Annex to Decision 79/542/EEC is replaced by the Annex to this Decision. Article 2. This Decision is addressed to the Member States. Done at Brussels, 27 October 1998.",human,NO-MODEL,legal
31231,NO-PROMPT,"Latex paint with acrylic will provide the best coverage and the smoothest application for both smooth and splitface cinder blocks. To determine how much paint to buy, use the same area measurements that you used to purchase the primer. Ask a store associate how much paint they recommend for the area, which will vary based on the brand. At the hardware store, purchase a halfgallon of extra paint in case you need to touch up the paint in the future. If the paint will",human,NO-MODEL,wiki
2897,NO-PROMPT,"By way of derogation from Article 5 of Regulation (EEC) No 1866/86, the area in which fishing for flatfish is permitted with mesh sizes equal to, or greater than, 90 mm is extended to the whole of subdivisions 22 and 24. Article 9. This Regulation shall enter into force on the day of its publication in the Official Journal of the European Communities. It shall apply with effect from 1 January 1996. This Regulation shall be binding in its entirety and directly applicable",human,NO-MODEL,legal
2576,NO-PROMPT,Article 1. The rates of the refunds applicable to the basic products listed in Annex I to Regulation (EC) No 1043/2005 and in Article,human,NO-MODEL,legal
26789,NO-PROMPT,"Then, pour 4 to 5 gallons (15 to 19 L) of warm water in a bucket or bin. Slice a lime, lemon, or orange and place the slices in the water. Have the person to gently slide their feet into the water for a five minute soak. Try rubbing the slices gently against their feet as they soak in the water. Put 1 tablespoon (15 ml) sea salt in the water for a more soothing effect. Add five to",human,NO-MODEL,wiki
5836,NO-PROMPT,"HAS ADOPTED THIS DECISION: Article 1. The Annex to Decision 2000/284/EC is replaced by the Annex to this Decision. Article 2. This Decision is addressed to the Member States. Done at Brussels, 16 February 2001.",human,NO-MODEL,legal
6049,NO-PROMPT,"Notwithstanding Article 1 (2), for the 1995/96 marketing year, the necessary information shall be supplied to the Commission by 28 February 1995. Article 3. This Regulation shall enter into force on the day of its publication in the Official Journal of the European Communities. It shall apply from 1 January 1995. This Regulation shall be binding in its entirety and directly applicable in all Member States. Done at Brussels, 17 February 1995.",human,NO-MODEL,legal
18446,NO-PROMPT,There are three swine flu cases in Miriam College na! OMGGG scary. I dont want to go to school anymore,human,NO-MODEL,tweets
16454,NO-PROMPT,Attn @kcmpls @MSPdude @nimbleboy I have a friend looking for 2 RtG tickets. First to DM me gets the info,human,NO-MODEL,tweets
7326,NO-PROMPT,"Article 1. The export refunds on the products listed in Article 1(1)(a) of Regulation (EC) No 1260/2001, undenatured and exported in the natural state, as fixed in the Annex to Regulation (EC) No 772/2002 are hereby altered to the amounts shown in the Annex hereto. Article 2. This Regulation shall enter into force on 17 May 2002. This Regulation shall be binding in its entirety and directly applicable in all Member States. Done at",human,NO-MODEL,legal
27803,NO-PROMPT,"The more room you have in your suitcase and your seat, the more comfortable you will be with a body pillow. Body pillows range in size, but some may be as long and wide as your torso. Body pillows often work best when they are propped against your legs or shoulders. Wear loose, comfortable clothing to avoid too much pressure or compression on your body when using the pillow. If you tend to run hot, dress light so the body pillow won’t",human,NO-MODEL,wiki
4654,NO-PROMPT,"Article 1. The standard import values referred to in Article 138 of Regulation (EC) No 1580/2007 shall be fixed as indicated in the Annex hereto. Article 2. This Regulation shall enter into force on 16 May 2008. This Regulation shall be binding in its entirety and directly applicable in all Member States. Done at Brussels, 15 May 2008.",human,NO-MODEL,legal
31314,NO-PROMPT,"Feel free to mix multiple scents and colors to create a combination unique to you. Lavender is a popular fragrance for relaxation, and eucalyptus is popular for added energy or sinus relief. Feel free to use your favorites! Leave the bath bombs in the molds for at least 24 hours. Place the molds in a cool, dry area away from moisture. If after 24 hours the bath bombs still feel slightly damp, remove them from the molds and allow them to air",human,NO-MODEL,wiki
18739,NO-PROMPT,Did a run. It hurt. Didnt press button on ipod/Nike+ properly so says it took a minute longer than,human,NO-MODEL,tweets
30261,NO-PROMPT,"Just know that you will have to invest a bit of money, but it certainly will help. Look for art lessons online, and art videos or DVDs. Many professional artists create instructional DVDs in various mediums, or on drawing in general. Websites with forums like http://www.wetcanvas.com will often have free art lessons, with volunteer teachers who give assignments, critique your work, and help in encouraging ways. Sites like http://howtodrawandpaint.com",human,NO-MODEL,wiki
2958,NO-PROMPT,"Article 1. The standard import values referred to in Article 4 of Regulation (EC) No 3223/94 shall be fixed as indicated in the Annex hereto. Article 2. This Regulation shall enter into force on 5 July 2001. This Regulation shall be binding in its entirety and directly applicable in all Member States. Done at Brussels, 4 July 2001.",human,NO-MODEL,legal
3981,NO-PROMPT,"Article 6. Regulation (EC) No 580/94 is hereby repealed. Article 7. This Regulation shall enter into force on 17 May 1994. This Regulation shall be binding in its entirety and directly applicable in all Member States. Done at Brussels, 6 May 1994.",human,NO-MODEL,legal
4622,NO-PROMPT,"Article 32a of this Regulation.. Article 2. This Regulation shall enter into force on the day of its publication in the Official Journal of the European Communities. With the exception of Article 1(13) and (19), it shall apply from 1 January 2000. This Regulation shall be binding in its entirety and directly applicable in all Member States. Done at Brussels, 29 September 2000.",human,NO-MODEL,legal
16931,NO-PROMPT,My old friends came by to my placeee theyre super funny! We had lots of LOLs,human,NO-MODEL,tweets
28543,NO-PROMPT,"Try a mixture of equal parts perlite, peat moss, and pine bark. Alternatively, combine three parts potting mix with one part coarse material such as orchid bark or lava rock. If the anthurium plant is at least a year old, it may prefer an even coarser material, achieved by adding a handful of crumbled aquarium charcoal, coarse river sand, or small pieces of broken brick. Anthurium plants can only grow outdoors in USDA Hard",human,NO-MODEL,wiki
7342,NO-PROMPT,"1982, p. 1). (2) Products corresponding to those set out in Annex I (b) to Regulation (EEC) No 1767/82.. Article 2. This Regulation shall enter into force on the day of its publication in the Official Journal of the European Communities. This Regulation shall be binding in its entirety and directly applicable in all Member States. Done at Brussels, 7 July 1987.",human,NO-MODEL,legal
17528,NO-PROMPT,@nympsam They couldnt do anything w those shots on goal. Look @ LA in the standings &amp; look where TFC is.,human,NO-MODEL,tweets
29511,NO-PROMPT,"In addition, most distributors wont show or buy your movie if you do not have this basic legal protection. When thinking about release forms, it is always better to be safe than sorry. If they say something on camera you need to have a release form, always. You may also need location release forms for any public locations and release forms for archived documents. You can download and customize basic release forms online for free. You do not want your subject sitting around while you fiddle with lights, cameras,",human,NO-MODEL,wiki
15267,NO-PROMPT,"Just watched the last episode of Cupid, I love that showso sad it is over. Good night..this time",human,NO-MODEL,tweets
18459,NO-PROMPT,@nowthatsmint lol theres even corn flavored ice cream now! haha 3 in 1 plus 1! LOL.,human,NO-MODEL,tweets
5742,NO-PROMPT,"Article 2. Member States shall, by 30 November 1990 at the latest, bring into force the laws, regulations or administrative provisions necessary to comply with Article 1. They shall inform the Commission thereof. Article 3. This Directive is addressed to the Member States. Done at Brussels, 19 February 1990.",human,NO-MODEL,legal
28868,NO-PROMPT,"When you finish a task, tell yourself good job! When youre midtask, encourage yourself to keep going, and note that you are making good progress. If youre alone or at home, you can talk aloud. Talking to yourself can help you stay on task. If you get distracted, remind yourself out loud of what you need to do. Ask yourself questions like What do I need to do next? If youre in a public place, say it to yourself",human,NO-MODEL,wiki
26397,NO-PROMPT,"However, thoughtful examination of your work every quarter can help you hone your skills. If you are lacking essential skills or knowledge about an issue, take it upon yourself to read a relevant book, enroll in a class or watch a webinar. If you know someone in the field that you respect highly, ask the person to go to coffee or lunch, or even a Skype session, to learn how they have managed their professional life. Micromanaging others is not an effective way to",human,NO-MODEL,wiki
16524,NO-PROMPT,Got too used to being served cocktails at the pool in Mexico I keep thinking someone is going to come by and,human,NO-MODEL,tweets
17246,NO-PROMPT,Had lunch with the beautiful @tami_kent and family. They r going to Busch Gardens and Im going back to,human,NO-MODEL,tweets
7518,NO-PROMPT,"rest of the Community: 7,25. (c) the weekly amounts of the guide level shall be as set out in the Annex in accordance with Article 25 (2) of Regulation (EEC) No 3013/89. Article 2. This Regulation shall enter into force on 1 January 1990. This Regulation shall be binding in its entirety and directly applicable in all Member States. Done at Brussels, 1 December 1989.",human,NO-MODEL,legal
15212,NO-PROMPT,YAYAY im done its pretty simple but i like it and plus i havent PSed in a while,human,NO-MODEL,tweets
13916,NO-PROMPT,@jennyjardine aw if you want i dno :L xx hnk thtss wht jillian is geeing her d,human,NO-MODEL,tweets
4488,NO-PROMPT,"By way of derogation from Article 2 (1), Member States may authorize, until 31 December 1991, the use in foodstuffs of the substances listed in Annex II.. Article 2. Article 1 shall take effect as from 1 January 1989. Article 3. This Directive is addressed to the Member States. Done at Luxembourg, 14 June 1989.",human,NO-MODEL,legal
14536,NO-PROMPT,A Saturday off and nothing to domaybe Ill give writing a shotGod knows Ive been neglecting it,human,NO-MODEL,tweets
31085,NO-PROMPT,"Sometimes this can just be bloating and not pregnancy. But if you monitor your guppy’s belly for several weeks and it continues to get bigger over time, your guppy is probably pregnant. Your female guppy is getting close to delivery time when the she is very large and has a boxy appearance. It takes about a month for the fry to be ready for birth. Itll take a couple weeks for a gravid spot (a spot near the butt of the guppy) to",human,NO-MODEL,wiki
26062,NO-PROMPT,"Rub a nail buffer very gently back and forth across your nails to smoothen out the uneven or peeling sections. This way, your nail plates get evened out and the nail won’t peel any further. Ensure you are very careful when buffing your nails. If you are too firm, you can damage the nail plate further. After you remove your manicure, wait a few weeks before applying polish on top",human,NO-MODEL,wiki
15274,NO-PROMPT,I am now catching up with my inner being. Linkin Park I am also trying to add a pic to this difficult site,human,NO-MODEL,tweets
26224,NO-PROMPT,"For instance, aspirin, clopidogrel, and warfarin can all increase your chance of bruising. As most of these medications are necessary to keep you healthy, its not recommended that you stop them, although, you may be able to stop aspirin for a week before your surgery under a doctors orders and supervision. Other medications that can lead to this problem include dabigatran, enoxaparin, ticlopidine, and dipyridamole",human,NO-MODEL,wiki
14834,NO-PROMPT,YEAH MMS has come to the iphone baby!! Just got no one to send a pic to,human,NO-MODEL,tweets
16867,NO-PROMPT,Im in a mean mood tonight sorry Jason and Joel I think its cause I won that argument against the cons. YES,human,NO-MODEL,tweets
16706,NO-PROMPT,Trying to chatch up on old tweets! Only let me go back 14 hours I missed Thursday and Friday Tweets whann,human,NO-MODEL,tweets
29732,NO-PROMPT,"This is simply not true. In fact, some quiet/reserved individuals find it easier to build strong friendships with people, in part because they focus on getting to know the other person instead of making idle small talk or going on about themselves. You dont necessarily need to find friends who are also quiet/reserved, but you should ensure that the people you surround yourself with are understanding of your quiet/reserved tendencies. Seek out people who are understanding and accepting. If you dont know",human,NO-MODEL,wiki
27101,NO-PROMPT,"Furthermore, you can typically buy extra pages to add to the book. When selecting a scrapbook, think about its purpose and design. You might want a small and portable scrapbook, or you might want a big one that can fit many pictures onto one page. You can buy scrapbooks at art stores or stationery stores. Most scrapbooks will come with properly sized sleeves and paper pages. You can also buy additional sleeves or pages. Photo albums are different from scrapbooks in that they",human,NO-MODEL,wiki
5026,NO-PROMPT,"HAS ADOPTED THIS DECISION: Article 1. Exceptional additional aid by the Romanian authorities to the agricultural sector, amounting to a maximum of EUR 400 million, shall be considered to be compatible with the common market. Article 2. This Decision is addressed to Romania. Done at Luxembourg, 22 October 2007.",human,NO-MODEL,legal
2889,NO-PROMPT,"Article 7. Member States and the Commission shall cooperate closely to ensure compliance with this Regulation. Article 8. This Regulation shall enter into force on the third day following its publication in the Official Journal of the European Communities. This Regulation shall be binding in its entirety and directly applicable in all Member States. Done at Brussels, 30 May 1994.",human,NO-MODEL,legal
29540,NO-PROMPT,"Bell nets use the same principle, but they attach over the center of your bed. Thus, there has to be a spot over your bed to attach the net. This will usually be a hook, pin, or fixture on the ceiling. If you can’t find a spot over the head of your bed to attach the net, consider moving the bed to a more suitable spot. An overhead beam will work at an attachment point. If there are no good spots available, you can screw a hook into the",human,NO-MODEL,wiki
30556,NO-PROMPT,"Blend the ingredients together at medium to high speed until a thick puree forms. Do not drain the adobo sauce from the chipotle chiles before adding them. You should pour the sauce into the blender along with the chiles. Spread the sauce into the bottom of your slow cooker. Place the beef on top of it, and pour the beef broth over the meat. Place the bay leaf on top. Coat the beef in the sauce by turning it a few",human,NO-MODEL,wiki
4701,NO-PROMPT,"HAS ADOPTED THIS DECISION: Article 1. The Annex to Decision 97/296/EC is replaced by the Annex hereto. Article 2. This Decision is addressed to the Member States. Done at Brussels, 23 December 1997.",human,NO-MODEL,legal
5962,NO-PROMPT,"Article 2. The Commission shall submit a report to the European Parliament and to the Council at the end of the first year of implementation of the amendments which this Regulation has made to Regulation (EC) No 3448/93 with regard to inward processing arrangements. Article 3. This Regulation shall enter into force on the seventh day following that of its publication in the Official Journal of the European Communities. This Regulation shall be binding in its entirety and directly applicable in all Member States. Done at Brussels,",human,NO-MODEL,legal
6102,NO-PROMPT,"In accordance with Article 5 (4) of Regulation (EEC) No 1837/80, the balance to be paid to producers keeping females of the ovine species other than eligible ewes, located in lessfavoured agricultural areas included in the areas referred to in paragraph 1 for the 1987 marketing year is as follows: 1.2 // Region // Balance of premium payable per female of the ovine species other than eligible ewe (in ECU) // 5 // 4,214. Article",human,NO-MODEL,legal
17018,NO-PROMPT,"I slipped and fell so hard on the tile floor at work, I think I broke my butt. Ouchhhh",human,NO-MODEL,tweets
25957,NO-PROMPT,"If so, ask what they liked or disliked about the person they met with. Ask how useful the advice and guidance was, or what they would do differently if they sought career counseling again. The National Career Development Association has a database of all career counselors who’ve met certain standards of education and training. Search based on your location to find counselors near you. A similar resource is the National Board for Certified Counselors (NBCC). Search their database for counsel",human,NO-MODEL,wiki
30543,NO-PROMPT,"There are two general types of hibiscus bushes: tropical and hardy. Tropical hibiscus will grow in areas with warm weather and temperatures above 50 °F (10 °C) yearround. Hardy hibiscus are hybrids that have been developed to grow in cold areas whose temperatures may drop below freezing in the winter. Tropical hibiscus have more plentiful blooms, but they die off after only 12 days. They are typically in shades of pink, peach, and purple. Hardy",human,NO-MODEL,wiki
14431,NO-PROMPT,@shaggieshapiro wow thats pretty cool 2 hear considering I was Soccer Mom all last weekend lol,human,NO-MODEL,tweets
4113,NO-PROMPT,"Article 1. No action shall be taken on the tenders notified from 19 to 25 October 2001 in response to the invitation to tender for the refund for the export of rye issued in Regulation (EC) No 1005/2001. Article 2. This Regulation shall enter into force on 26 October 2001. This Regulation shall be binding in its entirety and directly applicable in all Member States. Done at Brussels, 25 October 2001.",human,NO-MODEL,legal
17435,NO-PROMPT,Yooo Im uptown w itwe bout to get lit yesss love my noodle and kashia =,human,NO-MODEL,tweets
29584,NO-PROMPT,"Most dewormers are administered orally using a syringe or by mixing it into the mare’s food. You should deworm the mare 23 days after the foaling to protect her milk, regardless of when her next deworming is scheduled. Most dewormers are",human,NO-MODEL,wiki
18731,NO-PROMPT,@dspecial1 lol one is just a shuffle to workout with. the other two are to keep all my,human,NO-MODEL,tweets
5956,NO-PROMPT,"In Article 2 (1) of Regulation (EEC) No 2191/81 and in Article 2 (1) of Regulation (EEC) No 2192/81, 157 ECU is in each case hereby replaced by 150,5 ECU. Article 2. This Regulation shall enter into force on the day of its publication in the Official Journal of the European Communities. It shall apply from 1 June 1985. This Regulation shall be binding in its entirety and directly applicable in all Member",human,NO-MODEL,legal
7446,NO-PROMPT,HAS ADOPTED THIS REGULATION: Article 1 Refined rape seed oil shall be mobilized in the Community as Community food aid for supply to the recipients listed in the Annex in accordance with Regulation (EEC) No 2200/87 and under the conditions set out in the Annexes. Supplies shall be awarded by the tendering procedure. Article 2 This Regulation shall enter into force on the day of its publication in the Official Journal of the European Communities. This Regulation shall,human,NO-MODEL,legal
3840,NO-PROMPT,"Article 1. The Agreement aimed at renewing the Agreement on cooperation in science and technology between the European Community and the Government of the Russian Federation for an additional period of five years is hereby approved on behalf of the Community. The text of the Agreement is attached to this Decision. Article 2. The President of the Council is hereby authorised to designate the person(s) empowered to sign the Agreement in order to express the consent of the Community to be bound thereby. Done at Brussels, 5",human,NO-MODEL,legal
5445,NO-PROMPT,"Decision 91/56/EEC is hereby repealed. Article 2. This Decision shall apply from 1 July 1996. Article 3. This Decision is addressed to the Member States. Done at Brussels, 21 June 1996.",human,NO-MODEL,legal
6646,NO-PROMPT,"Article 1. The export refunds on the products listed in Article 1(1)(d)(f)(g) and (h) of Regulation (EC) No 1260/2001, exported in the natural state, shall be set out in the Annex hereto. Article 2. This Regulation shall enter into force on 1 November 2001. This Regulation shall be binding in its entirety and directly applicable in all Member States. Done at Brussels, 31 October 2001.",human,NO-MODEL,legal
18944,NO-PROMPT,"@SSPU Swoon rocks, congrats. Been listening to it every day since it was released. Hope you make it back to Vancouver, BC soon",human,NO-MODEL,tweets
6458,NO-PROMPT,"Licence applications may be submitted, pursuant to Article 3(2) of Regulation (EC) No 1918/98, during the first 10 days of July 2002 for the following quantities of boned beef and veal: TABLE. Article 3. This Regulation shall enter into force on 21 June 2002. This Regulation shall be binding in its entirety and directly applicable in all Member States. Done at Brussels, 14 June 2002.",human,NO-MODEL,legal
14532,NO-PROMPT,@ShanaeRawlings joking :p. AND dont forget its freaking cold and put a jumper on and im wearing shorts for some reason,human,NO-MODEL,tweets
3142,NO-PROMPT,"Article 6. The vessels concerned by this Regulation shall be identified by the internal number recorded in the Community register of fishing vessels, as referred to in Annex I of Regulation (EC) No 2090/98. Article 7. This Regulation shall enter into force on the seventh day following its publication in the Official Journal of the European Communities. This Regulation shall be binding in its entirety and directly applicable in all Member States. Done at Brussels, 30 September 1998.",human,NO-MODEL,legal
5617,NO-PROMPT,The penalty laid down in Article 51(1)(a) of Regulation (EC) No 800/1999 shall not apply in the cases referred to in paragraphs 2 and 3.. Article 2. This Regulation shall enter into force on the third day following its publication in the Official Journal of the European Communities. It shall apply to operations for which the formalities referred to in Article 5(1) or Article 26(1) of Regulation (EC) No 800/1999 are completed on the basis of,human,NO-MODEL,legal
7176,NO-PROMPT,"Directive 90/434/EEC, as amended by the acts listed in Annex II, Part A, is repealed, without prejudice to the obligations of the Member States relating to the timelimits for transposition into national law and application of the Directives set out in Annex II, Part B. References to the repealed Directive shall be construed as references to this Directive and shall be read in accordance with the correlation table in Annex III. Article 18. This Directive shall enter into force on",human,NO-MODEL,legal
26793,NO-PROMPT,"Choose a glass or metal bowl to collect the egg whites. Then, select a deep glass or metal mixing bowl to beat the egg whites in. Also, select a third container to hold the yolks. If any yolk gets in with the egg whites, it can ruin them and you will have to start over. Avoid using plastic to store egg whites. Plastic holds onto oil, so even clean plastic can ruin your egg whites. Before moving the egg white, check it over for y",human,NO-MODEL,wiki
28233,NO-PROMPT,"You may then find a donor once your turn comes on the list or if a suitable match for you appears through the transplant center’s list of donors. The donor list may be very long, depending on your transplant center and the need for kidney donors. But putting your name on the list will ensure that you have a possibility of finding a donor once your turn comes on the",human,NO-MODEL,wiki
29799,NO-PROMPT,"Skipping meals or waiting too long between meals may increase your hunger. Studies have shown that regular and consistent meal consumption in addition to a small snack daily lead to decreased hunger throughout the day. Its important to eat a minimum of 3 meals daily. However, depending on your schedule and office hours, you may need to eat more meals or include a few snacks during the day. Do not skip meals and do not leave more than 45 hours of time in between meals without having a planned snack.",human,NO-MODEL,wiki
4132,NO-PROMPT,"12. 1988, p. 1. Article 2. This Regulation shall enter into force on the third day following its publication in the",human,NO-MODEL,legal
6555,NO-PROMPT,"5. Krupp Thyssen Nirosta GmbH, Alleestraße 165, D44793 Bochum. 6. Usinor SA, La Défense 7, 13 Cours Valmy, F92800 Puteaux. This Decision is enforceable pursuant to Article 92 of the Treaty. Done at Brussels, 21 January 1998.",human,NO-MODEL,legal
15937,NO-PROMPT,Jus touched town n stuck n f**kin traffic on da manhattan bridge smfh wtf can I plz get,human,NO-MODEL,tweets
28523,NO-PROMPT,"There are a lot of smoothing serums out there, but it doesnt really matter which one you buy. Get one that suits your hair type (this is usually written on the bottle), but dont worry too much about brand names. Twist your hair and wrap it around the base of the ponytail, forming a bun shape. If the ends are sticking out, tuck them into an elastic, or secure them with bobby pins. You can also use hair wax, or allow",human,NO-MODEL,wiki
26821,NO-PROMPT,"This will narrow down where to look when youre exploring your leasing options. Obviously, you need a rough sense of the number of offices you need. Also consider the type of work youll be doing and how much of it occurs in the office itself. Some activities might require a large amount of personal space while others can be conducted in a smaller cubicle. Do not forget to consider conference rooms and other places to conduct meetings. Consider whether clients will be visiting the office; if not, youll have a",human,NO-MODEL,wiki
2893,NO-PROMPT,"Annex VIII to Regulation (EEC) No 3030/93 is replaced by Annex VI to this Regulation. Annex IX to Regulation (EEC) No 3030/93 is replaced by Annex VII to this Regulation. Article 2. This Regulation shall enter into force on the day of its publication in the Official Journal of the European Communities. This Regulation shall be binding in its entirety and directly applicable in all Member States. Done at Brussels, 12 January 1994.",human,NO-MODEL,legal
28752,NO-PROMPT,"Even if the patients temperature is slightly below the fever threshold, you should call an ambulance as body temperatures can range from 1 to 2°F or ½ to 1°C. If the ambulance dispatcher chooses to stay on the line with you and walk you through the steps you should be taking to treat the heatstroke patient, follow those steps instead of the ones in this article. An air conditioned room is ideal as this will help begin to cool the patient down immediately. Once in the shade or the",human,NO-MODEL,wiki
7742,NO-PROMPT,"For the 2004/05 marketing year the aid provided for in Article 2 of Regulation (EC) No 2201/96 for peaches shall be EUR 47,70 per tonne. Article 2. This Regulation shall enter into force on the third day following that of its publication in the Official Journal of the European Union. It shall apply for the 2004/05 marketing year. This Regulation shall be binding in its entirety and directly applicable in all Member States. Done at Brussels, 3 June 2004.",human,NO-MODEL,legal
